slug,name,street,suite,city,state,zip,phone,email,status,wheelchair_accessible,accessibility_note,parking,front_desk_hours,services,providers,latitude,longitude,google_maps_url,gbp_url,photos,notes
rockville-centre,Pathways Within Rockville Centre,53 N Park Ave,Suite 302,Rockville Centre,NY,11570,(631) 371-3825,[NEEDS: rockvillecentre@ bucket email],"Open at Suite 302, as listed on the current site.",true,Elevator to the 3rd floor. Wheelchair accessible.,"Parking varies, from a lot to on-street parking.",[NEEDS],,[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS: photograph after buildout],"Live site lists Suite 302. Therapy, medication management, and wellness."
garden-city,Pathways Within Garden City,647 Franklin Ave,Lower Level,Garden City,NY,11530,(631) 371-3825,[NEEDS],Open at 647 Franklin Ave. The 520 Franklin office is closed.,false,"Lower level, reached by stairs. Not wheelchair accessible.","Parking varies, from a lot to on-street parking.",[NEEDS],,[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],PCIT historically offered here (old site).
massapequa,Pathways Within Massapequa,4160 Merrick Road,Suite 7,Massapequa,NY,11758,(631) 371-3825,[NEEDS],Open at Suite 7. Suite 5 is closed.,false,Reached by stairs. Not wheelchair accessible.,"Parking varies, from a lot to on-street parking.",[NEEDS],,[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],Live site lists Suite 7 only.
smithtown,Pathways Within Smithtown,496 Smithtown Bypass,Suite 203,Smithtown,NY,11787,(631) 371-3825,[NEEDS],Open,true,Elevator to the 2nd floor. Wheelchair accessible.,"Parking varies, from a lot to on-street parking.",[NEEDS],,[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],Suffolk hub; Lee Wasser Clinical Director Suffolk.
port-jefferson,Pathways Within Port Jefferson,1227 Main Street,Suite 101,Port Jefferson,NY,11777,(631) 371-3825,[NEEDS],"Open at Suite 101, as listed on the current site.",true,"First floor, with a ramp. Wheelchair accessible.","Parking varies, from a lot to on-street parking.",[NEEDS],,[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],[NEEDS],Listed on the current site.
